name,price,deal,shop_name,location,url
【双十一预售】雅诗兰黛沁水粉底液养肤粉底干皮救星遮瑕奶油肌,530.00,4万+人付款,雅诗兰黛官方旗舰店,上海,https://detail.tmall.com/item.htm?id=42302551887&ns=1&abbucket=3
【双十一预售】雅诗兰黛白金级养肤粉底液宝石粉底光感细腻遮瑕,920.00,5000+人付款,雅诗兰黛官方旗舰店,上海,https://detail.tmall.com/item.htm?id=43047156454&ns=1&abbucket=3
日本Covermark珂芙缦傲丽中草药粉底霜遮瑕粉底液保湿30g,359.00,5000+人付款,天猫国际进口超市,浙江 杭州,https://detail.tmall.com/item.htm?id=553304786214&ns=1&abbucket=3
【双11预售】阿玛尼大师造型紧颜粉底液干皮遮瑕持久官方正品,630.00,6000+人付款,阿玛尼美妆官方旗舰店,江苏 苏州,https://detail.tmall.com/item.htm?id=599135844875&ns=1&abbucket=3
【双11预售】阿玛尼权力无痕持妆粉底液轻薄控油遮瑕 正品,600.00,7000+人付款,阿玛尼美妆官方旗舰店,江苏 苏州,https://detail.tmall.com/item.htm?id=564596877066&ns=1&abbucket=3
【提前加购]SUQQU记忆塑形奶油粉底霜保湿遮瑕粉霜30g粉底液bb霜,669.00,2000+人付款,天猫国际进口超市,浙江 杭州,https://detail.tmall.com/item.htm?id=556806714016&ns=1&abbucket=3
【双11预售】兰蔻菁纯气垫粉底液 自然持妆自带柔光润养遮瑕,650.00,6000+人付款,lancome兰蔻官方旗舰店,江苏 苏州,https://detail.tmall.com/item.htm?id=553616088775&ns=1&abbucket=3
【双11预售】美宝莲纽约SuperStay巨持妆粉底液持久遮瑕控油防水,159.00,1万+人付款,美宝莲旗舰店,上海,https://detail.tmall.com/item.htm?id=616013335516&ns=1&abbucket=3
雅诗兰黛粉底液DW白金沁水提亮遮瑕控油保湿持久不脱妆dw油皮亲妈,183.00,6000+人付款,sd1554040,广东 深圳,https://item.taobao.com/item.htm?id=618093874895&ns=1&abbucket=3#detail
【双11预售】MAC/魅可定制无瑕粉底液遮瑕保湿持久不脱妆 混油皮,340.00,1万+人付款,mac魅可官方旗舰店,浙江 嘉兴,https://detail.tmall.com/item.htm?id=553809978677&ns=1&abbucket=3
ZEESEA滋色粉底液遮瑕控油混干油皮持久保湿不脱妆bb霜旗舰店官方,89.90,1万+人付款,zeesea滋色旗舰店,广东 广州,https://detail.tmall.com/item.htm?id=567406444345&ns=1&abbucket=3
ZFC粉底膏遮瑕膏控油持久粉底bb霜cc霜保湿裸妆粉底液粉底霜,45.00,1万+人付款,zfc化妆品旗舰店,广东 广州,https://detail.tmall.com/item.htm?id=5557058365&ns=1&abbucket=3
【预售礼遇】CHANEL 香奈儿柔光持妆粉底液小磨方遮瑕控油防水,600.00,,chanel香奈儿官方旗舰店,浙江 杭州,https://detail.tmall.com/item.htm?id=596287008965&ns=1&abbucket=3
【双11预售】玛丽黛佳900目粉霜粉底液 干皮遮瑕保湿持久不易脱妆,179.00,3万+人付款,玛丽黛佳旗舰店,上海,https://detail.tmall.com/item.htm?id=616213029192&ns=1&abbucket=3
雅诗兰黛粉底液DW沁水提亮遮瑕保湿持久不脱妆防晒控油皮亲妈小样,188.00,2000+人付款,ryantjh88,广东 深圳,https://item.taobao.com/item.htm?id=654792008041&ns=1&abbucket=3#detail
Mistine蜜丝婷小蓝盾粉底液遮瑕不脱妆控油持久干混油皮旗舰思婷,79.00,2万+人付款,蓝媚儿0605,安徽 合肥,https://item.taobao.com/item.htm?id=626226249251&ns=1&abbucket=3#detail
程十安 AKF粉底液干皮亲妈持久不脱妆混干遮瑕bb霜学生平价混油,69.00,1万+人付款,ttab1,浙江 金华,https://item.taobao.com/item.htm?id=647535114611&ns=1&abbucket=3#detail
